item,price_per_kg
oats,160
brown rice,95
whole wheat atta,60
toor dal,170
moong dal,140
masoor dal,130
chana dal,110
rajma,160
chickpeas,120
quinoa,380
poha,60
rava,55
idli batter,120
tofu,260
low-fat paneer,360
curd,90
milk,64
spinach,45
tomato,35
onion,30
cucumber,40
carrot,55
capsicum,95
cauliflower,60
cabbage,40
bottle gourd,35
ridge gourd,50
okra,70
green peas,120
methi leaves,70
coriander leaves,160
ginger,120
garlic,180
lemon,100
banana,60
apple,170
orange,120
guava,90
papaya,55
makhana,700
roasted chana,95
almonds,820
walnuts,950
flax seeds,180
chia seeds,520
olive oil,700
groundnut oil,180
mustard seeds,160
cumin seeds,420
turmeric powder,300
